currencyId,creditLineId,cardId,billingCycleId,billingPeriodId,billingYear
484,500168,'6520030238514058',1,9,2017
484,500168,'6520030238514058',1,9,2017
484,500168,'6520030238514058',1,9,2017
484,500168,'6520030238514058',1,9,2017
484,500168,'6520030238514058',1,9,2017
484,500168,'6520030238514058',1,9,2017
484,500168,'6520030238514058',1,9,2017
484,500168,'6520030238514058',1,9,2017
484,500168,'6520030238514058',1,9,2017
484,500168,'6520030238514058',1,9,2017
484,500168,'6520030238514058',1,9,2017
484,500168,'6520030238514058',1,9,2017
484,500168,'6520030238514058',1,9,2017
484,500168,'6520030238514058',1,9,2017
484,500168,'6520030238514058',1,9,2017
484,500168,'6520030238514058',1,9,2017
