deviceId,deviceType,userGUID,cardId,cardExpDate,cardCVV,cardEPHId,amount,cardHolder
6c188af9-4e68-32a3-9816-9bfe21a23d33,1,b6097a4d-acad-4035-96eb-dc4a2e9a7824,'6520030238514058',0419,123,'6520030238514058',1,Eduardo Javier Epura
6c188af9-4e68-32a3-9816-9bfe21a23d33,1,b6097a4d-acad-4035-96eb-dc4a2e9a7824,'6520030238514058',0419,123,'6520030238514058',1,Eduardo Javier Epura
6c188af9-4e68-32a3-9816-9bfe21a23d33,1,b6097a4d-acad-4035-96eb-dc4a2e9a7824,'6520030238514058',0419,123,'6520030238514058',1,Eduardo Javier Epura
6c188af9-4e68-32a3-9816-9bfe21a23d33,1,b6097a4d-acad-4035-96eb-dc4a2e9a7824,'6520030238514058',0419,123,'6520030238514058',1,Eduardo Javier Epura
6c188af9-4e68-32a3-9816-9bfe21a23d33,1,b6097a4d-acad-4035-96eb-dc4a2e9a7824,'6520030238514058',0419,123,'6520030238514058',1,Eduardo Javier Epura
6c188af9-4e68-32a3-9816-9bfe21a23d33,1,b6097a4d-acad-4035-96eb-dc4a2e9a7824,'6520030238514058',0419,123,'6520030238514058',1,Eduardo Javier Epura
6c188af9-4e68-32a3-9816-9bfe21a23d33,1,b6097a4d-acad-4035-96eb-dc4a2e9a7824,'6520030238514058',0419,123,'6520030238514058',1,Eduardo Javier Epura
6c188af9-4e68-32a3-9816-9bfe21a23d33,1,b6097a4d-acad-4035-96eb-dc4a2e9a7824,'6520030238514058',0419,123,'6520030238514058',1,Eduardo Javier Epura
6c188af9-4e68-32a3-9816-9bfe21a23d33,1,b6097a4d-acad-4035-96eb-dc4a2e9a7824,'6520030238514058',0419,123,'6520030238514058',1,Eduardo Javier Epura
6c188af9-4e68-32a3-9816-9bfe21a23d33,1,b6097a4d-acad-4035-96eb-dc4a2e9a7824,'6520030238514058',0419,123,'6520030238514058',1,Eduardo Javier Epura
6c188af9-4e68-32a3-9816-9bfe21a23d33,1,b6097a4d-acad-4035-96eb-dc4a2e9a7824,'6520030238514058',0419,123,'6520030238514058',1,Eduardo Javier Epura
6c188af9-4e68-32a3-9816-9bfe21a23d33,1,b6097a4d-acad-4035-96eb-dc4a2e9a7824,'6520030238514058',0419,123,'6520030238514058',1,Eduardo Javier Epura
6c188af9-4e68-32a3-9816-9bfe21a23d33,1,b6097a4d-acad-4035-96eb-dc4a2e9a7824,'6520030238514058',0419,123,'6520030238514058',1,Eduardo Javier Epura
6c188af9-4e68-32a3-9816-9bfe21a23d33,1,b6097a4d-acad-4035-96eb-dc4a2e9a7824,'6520030238514058',0419,123,'6520030238514058',1,Eduardo Javier Epura
6c188af9-4e68-32a3-9816-9bfe21a23d33,1,b6097a4d-acad-4035-96eb-dc4a2e9a7824,'6520030238514058',0419,123,'6520030238514058',1,Eduardo Javier Epura
6c188af9-4e68-32a3-9816-9bfe21a23d33,1,b6097a4d-acad-4035-96eb-dc4a2e9a7824,'6520030238514058',0419,123,'6520030238514058',1,Eduardo Javier Epura
6c188af9-4e68-32a3-9816-9bfe21a23d33,1,b6097a4d-acad-4035-96eb-dc4a2e9a7824,'6520030238514058',0419,123,'6520030238514058',1,Eduardo Javier Epura
6c188af9-4e68-32a3-9816-9bfe21a23d33,1,b6097a4d-acad-4035-96eb-dc4a2e9a7824,'6520030238514058',0419,123,'6520030238514058',1,Eduardo Javier Epura
6c188af9-4e68-32a3-9816-9bfe21a23d33,1,b6097a4d-acad-4035-96eb-dc4a2e9a7824,'6520030238514058',0419,123,'6520030238514058',1,Eduardo Javier Epura
